audio_path,score,evaluator_id
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",1.0,3581110
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",1.0,3604757
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604448
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",1.0,3581544
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604323
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",1.0,3581304
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604818
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",1.0,3605195
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604491
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604985
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604847
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604809
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",4.0,3604979
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",5.0,3604811
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_25.wav, reference/11995_10229_000007.wav",5.0,3605416
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",1.0,3581478
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",1.0,3581177
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",1.0,3580908
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",3.0,3604362
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",1.0,3581474
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",2.0,3581434
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",4.0,3604847
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",2.0,3581471
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",3.0,3604461
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",4.0,3604448
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",1.0,3605392
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",4.0,3604830
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",4.0,3604450
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",4.0,3604996
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",2.0,3581424
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_26.wav, reference/11995_10229_000007.wav",5.0,3604491
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",4.0,3604448
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",1.0,3580249
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",3.0,3604518
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",1.0,3580365
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",5.0,3605250
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",4.0,3605447
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",1.0,3581110
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",5.0,3581648
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",1.0,3581088
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",1.0,3581202
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",2.0,3582340
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",1.0,3581424
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",4.0,3604985
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",4.0,3604963
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",4.0,3605304
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",2.0,3605486
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_27.wav, reference/11995_10229_000007.wav",4.0,3605445
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",1.0,3580349
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",1.0,3581097
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",1.0,3581232
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",1.0,3580365
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",4.0,3604833
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",1.0,3605392
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",5.0,3580464
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",4.0,3604969
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",1.0,3581300
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",4.0,3604830
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",5.0,3605447
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",4.0,3605445
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",4.0,3581702
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_28.wav, reference/11995_10229_000007.wav",4.0,3605486
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",4.0,3604951
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",1.0,3581544
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",1.0,3581478
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",4.0,3605445
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",3.0,3604518
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",1.0,3605195
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",4.0,3604833
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",4.0,3604996
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",1.0,3581638
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",3.0,3605667
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",4.0,3604979
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",5.0,3604811
"Exp.2/model+SCL/Portuguese_MLS_SECS/11995_29.wav, reference/11995_10229_000007.wav",4.0,3604809
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",1.0,3581202
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",1.0,3580365
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",2.0,3581386
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",1.0,3581232
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",5.0,3605447
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",3.0,3605392
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",4.0,3604309
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",4.0,3604963
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",4.0,3604979
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",5.0,3604811
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",3.0,3604461
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",4.0,3604323
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",4.0,3581471
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav, reference/12249_12765_000220.wav",4.0,3605741
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav, reference/12249_12765_000220.wav",1.0,3604532
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav, reference/12249_12765_000220.wav",1.0,3581386
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav, reference/12249_12765_000220.wav",3.0,3581434
"Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav, reference/12249_12765_000220.wav",1.0,3580365
